ID	LABEL	alternative term	IEDB alternative term	has cross-reference	logical type	parent	textual definition	logical annotation goal	derives from organism	derives from cell	derives from tissue	having disease	unified axiom
ICF:0000186	immortal breast ductal carcinoma cell line cell				equivalent	immortal cell line cell	An immortal cell line cell derived from a subject with breast ductal carcinoma.					breast ductal carcinoma	'derives from' some ('cell' and ('part of' some ('organism' and ('has disease' some 'breast ductal carcinoma'))))
ICF:0000187	immortal multiple myeloma cell line cell				equivalent	immortal cell line cell	An immortal cell line cell derived from a subject with multiple myeloma.					multiple myeloma	'derives from' some ('cell' and ('part of' some ('organism' and ('has disease' some 'multiple myeloma'))))
ICF:0000188	immortal colon specimen-derived cell line cell				equivalent	immortal cell line cell	An immortal cell line cell derived from a colon specimen.				colon		'derives from' some ('cell' and ('part of' some 'colon'))
ICF:0000189	immortal breast specimen-derived cell line cell				equivalent	immortal cell line cell	An immortal cell line cell derived from a breast specimen.				breast		'derives from' some ('cell' and ('part of' some 'breast'))
ICF:0000190	immortal lung adenocarcinoma cell line cell				equivalent	immortal cell line cell	An immortal cell line cell derived from a subject with lung adenocarcinoma.					lung adenocarcinoma	'derives from' some ('cell' and ('part of' some ('organism' and ('has disease' some 'lung adenocarcinoma'))))
ICF:0000191	immortal lung small cell carcinoma cell line cell				equivalent	immortal cell line cell	An immortal cell line cell derived from a subject with lung small cell carcinoma.					lung small cell carcinoma	'derives from' some ('cell' and ('part of' some ('organism' and ('has disease' some 'lung small cell carcinoma'))))
ICF:0000192	immortal pancreatic ductal adenocarcinoma cell line cell				equivalent	immortal cell line cell	An immortal cell line cell derived from a subject with pancreatic ductal adenocarcinoma.					pancreatic ductal adenocarcinoma	'derives from' some ('cell' and ('part of' some ('organism' and ('has disease' some 'pancreatic ductal adenocarcinoma'))))
ICF:0000193	immortal diffuse large B-cell lymphoma cell line cell				equivalent	immortal cell line cell	An immortal cell line cell derived from a subject with diffuse large B-cell lymphoma.					diffuse large B-cell lymphoma	'derives from' some ('cell' and ('part of' some ('organism' and ('has disease' some 'diffuse large B-cell lymphoma'))))
ICF:0000194	immortal breast adenocarcinoma cell line cell				equivalent	immortal cell line cell	An immortal cell line cell derived from a subject with breast adenocarcinoma.					breast adenocarcinoma	'derives from' some ('cell' and ('part of' some ('organism' and ('has disease' some 'breast adenocarcinoma'))))
ICF:0000195	immortal breast carcinoma cell line cell				equivalent	immortal cell line cell	An immortal cell line cell derived from a subject with breast carcinoma.					breast carcinoma	'derives from' some ('cell' and ('part of' some ('organism' and ('has disease' some 'breast carcinoma'))))
